Date,Sentiment_Score,Tweet_Volume,Open,High,Low,Close,Log_Returns
2018-06-21 09:00:00,0.42345,2,5386.88,5396.48,5383.41,5387.33,-0.0032164053103026715
2018-06-21 09:30:00,0.32135,2,5387.37,5391.96,5369.0,5370.03,-0.0001378113327791825
2018-06-21 10:00:00,0.03882499999999999,4,5369.58,5373.44,5367.41,5369.29,-0.0011665698954054437
2018-06-21 10:30:00,0.0,1,5369.73,5372.09,5357.22,5363.03,-0.002714835789950642
2018-06-21 11:00:00,-0.06653333333333332,3,5363.39,5364.84,5345.58,5348.49,-0.001056931275336061
2018-06-21 11:30:00,0.0,1,5348.72,5355.92,5342.83,5342.84,0.0006978870024425931
2018-06-21 12:00:00,0.0,2,5343.3,5351.25,5341.18,5346.57,0.002404258206285903
2018-06-21 12:30:00,0.0,1,5346.89,5361.67,5346.89,5359.44,-0.0021536616355293686
2018-06-21 13:00:00,0.317,3,5358.5,5358.5,5346.41,5347.91,0.0003047455258244577
2018-06-21 13:30:00,0.2023,1,5347.95,5351.07,5343.37,5349.54,-0.0007049819324806868
2018-06-21 14:00:00,0.4404,1,5350.05,5350.3,5342.87,5345.77,-0.001990467761574203
2018-06-21 14:30:00,0.8331,1,5345.5,5345.61,5330.81,5335.14,0.002046585324141082
2018-06-21 15:00:00,0.0,0,5335.52,5349.13,5333.64,5346.07,-0.0024290289183731867
2018-06-21 15:30:00,0.0,0,5345.99,5346.0,5331.89,5333.1,-0.001375380533864485
2018-06-21 16:00:00,0.31143333333333334,3,5333.08,5335.88,5314.0,5325.77,-0.001967847853400216
2018-06-21 16:30:00,0.0,2,5325.55,5331.59,5304.87,5315.3,2.633871207608123e-05
2018-06-21 17:00:00,0.0,2,5314.63,5321.98,5302.08,5315.44,0.00010722902342527558
2018-06-21 17:30:00,0.0,1,5315.7,5316.01,5315.7,5316.01,0.003127153638620601
2018-06-22 09:00:00,0.3182,3,5330.05,5337.13,5327.02,5332.66,0.0014634884788162486
2018-06-22 09:30:00,0.0,0,5332.11,5341.73,5332.1,5340.47,0.0008890395122567391
2018-06-22 10:00:00,0.09964999999999999,4,5339.23,5345.23,5337.18,5345.22,0.0007218799112841803
2018-06-22 10:30:00,0.0,1,5345.13,5350.09,5343.81,5349.08,0.0015094004121050534
2018-06-22 11:00:00,0.0,1,5348.8,5359.23,5348.5,5357.16,-0.0011523933980788648
2018-06-22 11:30:00,0.10115,2,5356.44,5357.65,5350.31,5350.99,0.0006632086650770669
2018-06-22 12:00:00,0.0,2,5351.68,5355.53,5350.62,5354.54,0.001367995652111203
2018-06-22 12:30:00,0.2553,2,5355.12,5362.75,5354.97,5361.87,0.00040276340991407387
2018-06-22 13:00:00,0.0,1,5361.62,5364.83,5359.45,5364.03,0.00029823871620531173
2018-06-22 13:30:00,-0.3548,2,5363.88,5366.44,5359.81,5365.63,-0.00018825283716283948
2018-06-22 14:00:00,0.0,0,5365.99,5371.1,5364.4,5364.62,0.0009986399950538546
2018-06-22 14:30:00,0.2997,2,5364.66,5370.73,5363.62,5369.98,-0.0005271427402915784
2018-06-22 15:00:00,0.0,0,5370.08,5372.48,5365.89,5367.15,0.001595477152370913
2018-06-22 15:30:00,-0.3034,1,5367.13,5376.11,5361.56,5375.72,-0.0018712667415712511
2018-06-22 16:00:00,0.0,2,5375.83,5389.32,5365.58,5365.67,0.00333232859470846
2018-06-22 16:30:00,0.27365,2,5366.92,5383.61,5363.67,5383.58,0.0001002999712941899
2018-06-22 17:00:00,0.0,3,5383.93,5386.31,5374.46,5384.12,0.0006053010443365743
2018-06-22 17:30:00,0.0,1,5384.33,5387.38,5384.33,5387.38,-0.006777590882046268
2018-06-25 09:00:00,0.0,0,5350.96,5362.33,5348.62,5350.99,0.0005081880031271339
2018-06-25 09:30:00,0.0,0,5350.87,5353.71,5346.79,5353.71,-0.0009680217233963402
2018-06-25 10:00:00,0.3692666666666667,4,5354.23,5360.58,5344.64,5348.53,-0.0010082616572749884
2018-06-25 10:30:00,0.0,1,5348.66,5348.98,5341.06,5343.14,-0.0005279188700093027
2018-06-25 11:00:00,0.0,2,5343.02,5343.61,5336.12,5340.32,0.00047738550909011407
2018-06-25 11:30:00,-0.19495,4,5340.68,5343.01,5337.42,5342.87,-0.0010599172534066354
2018-06-25 12:00:00,-0.2394666666666667,3,5342.64,5344.75,5336.14,5337.21,0.0011104506143258975
2018-06-25 12:30:00,0.0,1,5337.82,5344.59,5337.33,5343.14,-0.0006833523471350112
2018-06-25 13:00:00,0.0,0,5343.06,5349.57,5337.81,5339.49,0.0006141022785590947
2018-06-25 13:30:00,-0.3982,2,5339.68,5343.84,5339.42,5342.77,-0.0004137286841320203
2018-06-25 14:00:00,0.0,0,5342.82,5343.86,5336.31,5340.56,-0.0006874300782536118
2018-06-25 14:30:00,0.0,1,5340.88,5340.88,5332.67,5336.89,0.0010749547831226751
2018-06-25 15:00:00,0.0,0,5336.97,5342.63,5335.9,5342.63,-0.0044947689941264215
2018-06-25 15:30:00,0.0,0,5342.28,5345.05,5318.52,5318.67,0.00019551849122020228
2018-06-25 16:00:00,0.0,1,5319.42,5320.04,5307.18,5319.71,-0.0017327978101066097
2018-06-25 16:30:00,0.050575,4,5319.88,5321.88,5307.81,5310.5,-0.0035332093004166744
2018-06-25 17:00:00,0.0,1,5310.6,5312.21,5291.77,5291.77,-0.001495892249447735
2018-06-25 17:30:00,0.0,1,5290.91,5290.94,5283.85,5283.86,0.003263114150154292
2018-06-26 09:00:00,0.2787,2,5308.88,5313.27,5297.18,5301.13,-0.00031318982200412987
2018-06-26 09:30:00,0.2202,2,5301.09,5305.59,5291.62,5299.47,0.0010052555147779148
2018-06-26 10:00:00,0.08675,4,5299.94,5305.48,5298.73,5304.8,0.00015079544626334944
2018-06-26 10:30:00,-0.13396666666666665,3,5304.74,5308.17,5301.97,5305.6,0.001269549631146787
2018-06-26 11:00:00,0.0,2,5306.13,5315.57,5306.12,5312.34,-0.0011037008998865021
2018-06-26 11:30:00,0.20095,2,5312.49,5312.5,5303.41,5306.48,-0.002511404998407427
2018-06-26 12:00:00,0.0,3,5306.46,5307.44,5293.16,5293.17,0.0020081199691844237
2018-06-26 12:30:00,0.0,1,5293.21,5305.21,5290.46,5303.81,0.00020926161831819447
2018-06-26 13:00:00,0.0,0,5303.77,5306.0,5300.96,5304.92,-0.0017395213345873539
2018-06-26 13:30:00,0.3044,2,5304.61,5305.17,5295.7,5295.7,0.0013247259547397806
2018-06-26 14:00:00,0.5509000000000001,3,5295.87,5303.38,5295.87,5302.72,0.0001527401299374882
2018-06-26 14:30:00,0.0,0,5302.68,5304.71,5301.29,5303.53,-0.00019611503718331992
2018-06-26 15:00:00,0.0,0,5303.27,5304.61,5300.12,5302.49,-0.001213373676379104
2018-06-26 15:30:00,0.0,2,5302.9,5306.67,5292.77,5296.06,0.0006229106739902057
2018-06-26 16:00:00,0.0,0,5295.82,5306.44,5295.43,5299.36,-0.0023294070170010676
2018-06-26 16:30:00,0.0,2,5298.61,5300.53,5282.93,5287.03,0.0010548564067237103
2018-06-26 17:00:00,0.0,1,5287.12,5295.69,5283.1,5292.61,-0.0021411218802181334
2018-06-26 17:30:00,0.0,2,5294.15,5294.15,5281.29,5281.29,-0.0006591471102646064
2018-06-27 09:00:00,0.0,0,5284.46,5291.61,5277.81,5277.81,-0.004317914061698803
2018-06-27 09:30:00,0.0,1,5277.73,5277.73,5254.29,5255.07,-3.8058556894288235e-06
2018-06-27 10:00:00,0.347,1,5254.94,5262.11,5250.12,5255.05,-0.0014930122576161788
2018-06-27 10:30:00,0.0,2,5254.87,5255.82,5246.43,5247.21,0.0024345199757258985
2018-06-27 11:00:00,0.0,1,5248.91,5260.98,5246.41,5260.0,0.00367195732977264
2018-06-27 11:30:00,0.0,1,5260.83,5280.69,5260.83,5279.35,0.00196611124457428
2018-06-27 12:00:00,-0.0019999999999999905,5,5279.88,5291.88,5279.23,5289.74,-6.994917344667997e-05
2018-06-27 12:30:00,0.0,1,5289.52,5291.85,5285.39,5289.37,0.00036103642417941015
2018-06-27 13:00:00,0.37129999999999996,2,5289.43,5296.77,5288.4,5291.28,0.004897950507450519
2018-06-27 13:30:00,0.0,0,5291.02,5324.81,5286.6,5317.26,0.0017456159700372576
2018-06-27 14:00:00,0.2811,2,5317.67,5330.65,5317.27,5326.55,0.0038319069144086802
2018-06-27 14:30:00,-0.05983333333333332,3,5326.8,5348.86,5326.65,5347.0,-0.000314244245182538
2018-06-27 15:00:00,0.0,0,5346.95,5350.76,5344.92,5345.32,0.001631872145245623
2018-06-27 15:30:00,0.0,0,5345.46,5357.98,5344.97,5354.05,0.0007150905883826893
2018-06-27 16:00:00,0.0,0,5353.05,5371.58,5351.95,5357.88,-0.0016774421638755292
2018-06-27 16:30:00,0.34958999999999996,7,5356.09,5361.58,5347.48,5348.9,-0.0032864428821478987
2018-06-27 17:00:00,0.0,1,5349.16,5350.48,5322.12,5331.35,-0.0007787175947411486
2018-06-27 17:30:00,0.0,1,5328.14,5328.15,5327.2,5327.2,0.0015193437858239912
2018-06-28 09:00:00,0.24695,2,5308.44,5336.4,5305.0,5335.3,-0.0007349991143397789
2018-06-28 09:30:00,0.4404,1,5335.38,5337.19,5327.85,5331.38,0.0004688118331457752
2018-06-28 10:00:00,0.1831,3,5332.57,5341.09,5331.75,5333.88,-0.0038225305081835068
2018-06-28 10:30:00,0.0,2,5333.68,5335.23,5306.64,5313.53,0.0010420782313518603
2018-06-28 11:00:00,0.0,1,5313.49,5321.42,5312.12,5319.07,-0.0014580841103755324
2018-06-28 11:30:00,-0.20095,2,5318.33,5318.34,5301.85,5311.32,-0.0005649909186758607
2018-06-28 12:00:00,-0.017116666666666665,4,5311.53,5311.75,5306.48,5308.32,-0.000685951218830963
2018-06-28 12:30:00,0.26335,2,5307.88,5317.02,5303.77,5304.68,-0.0022722735900090746
2018-06-28 13:00:00,0.0,1,5303.89,5304.13,5292.35,5292.64,0.0004080306532962663
2018-06-28 13:30:00,-0.7096,1,5292.69,5298.98,5289.37,5294.8,-0.001669066060385146
2018-06-28 14:00:00,0.3275666666666667,3,5296.03,5296.65,5280.85,5285.97,-0.00044277929878718144
2018-06-28 14:30:00,0.0,1,5286.34,5288.76,5279.56,5283.63,-0.002510895282707297
2018-06-28 15:00:00,0.0,0,5283.6,5287.11,5270.37,5270.38,-0.0003567741581537621
2018-06-28 15:30:00,0.0,1,5270.49,5284.38,5264.18,5268.5,-0.0018124034879108176
